question,answer
"What is the Korean translation for the English word ""Chapter""?",목적·심경
"Translate the Korean phrase ""Let’s Check It Out"" into English.",Let’s Check It Out
"Provide the English translation for the Korean word ""문의하다"".",inquire
"What is the English translation for ""이전의""?",previous
"Translate the word ""연락, 통신"" into English.",communication
"What does ""직원"" mean in English?",staff
"Give the English translation for ""잘못된"".",mistaken
"Translate ""주소"" from Korean to English.",address
"What is the English translation for ""즉시""?",promptly
"Provide the English translation for ""요청하다"".",request
